iter	MultiLogloss
0	0.6845141801
1	0.6760560199
2	0.6677734337
3	0.6596441837
4	0.6516785589
5	0.6438575517
6	0.6361816815
7	0.6286585949
8	0.6212639759
9	0.6140065418
10	0.6068844829
11	0.5998893048
12	0.5930270881
13	0.5862915558
14	0.5796841503
15	0.5731772323
16	0.5667898319
17	0.5605094648
18	0.5543410495
19	0.5482705801
20	0.5423038763
21	0.5364459183
22	0.5306789527
23	0.5250121008
24	0.5194359895
25	0.5139681554
26	0.5085732455
27	0.5032777467
28	0.4980601377
29	0.4929233308
30	0.4878734135
31	0.4829000937
32	0.4780066945
33	0.4731897033
34	0.4684562969
35	0.4637950662
36	0.4591998611
37	0.4546762436
38	0.4502281131
39	0.4458490091
40	0.4415276341
41	0.4372746974
42	0.4330852489
43	0.4289682798
44	0.4249077479
45	0.4209084931
46	0.4169664163
47	0.4130864099
48	0.4092608552
49	0.4054986425
50	0.4017783395
51	0.3981164625
52	0.3945024824
53	0.3909481057
54	0.3874431918
55	0.3839894511
56	0.3805844758
57	0.3772260569
58	0.3739192004
59	0.3706564304
60	0.3674369759
61	0.3642617357
62	0.3611413649
63	0.3580575396
64	0.3550163216
65	0.3520151702
66	0.3490513194
67	0.3461340989
68	0.3432626961
69	0.3404312698
70	0.3376326634
71	0.3348711405
72	0.3321409833
73	0.3294526523
74	0.3267967548
75	0.3241772399
76	0.3215960612
77	0.3190557343
78	0.3165406532
79	0.3140632741
80	0.3116183269
81	0.3092006103
82	0.3068135828
83	0.3044547968
84	0.3021311828
85	0.299839769
86	0.297577904
87	0.2953464575
88	0.2931428586
89	0.2909757055
90	0.2888265721
91	0.2867076245
92	0.284608778
93	0.2825400137
94	0.28049598
95	0.2784807937
96	0.2764945771
97	0.2745302079
98	0.2725911778
99	0.2706843924
100	0.2687975843
101	0.2669357901
102	0.2650899004
103	0.2632666611
104	0.2614693797
105	0.259692511
106	0.2579390624
107	0.2562139202
108	0.2545037465
109	0.2528182316
110	0.2511489959
111	0.2495032276
112	0.2478795762
113	0.2462694631
114	0.2446857165
115	0.2431226093
116	0.2415778671
117	0.2400512053
118	0.2385396823
119	0.2370430735
120	0.2355711961
121	0.2341090506
122	0.2326717304
123	0.2312481209
124	0.2298458099
125	0.22846127
126	0.2270919406
127	0.2257361883
128	0.2243992436
129	0.2230785342
130	0.2217723929
131	0.2204855236
132	0.2192154931
133	0.2179590652
134	0.2167057612
135	0.2154756627
136	0.2142644907
137	0.2130589684
138	0.2118696624
139	0.2106894155
140	0.2095264479
141	0.2083769656
142	0.2072468915
143	0.2061309847
144	0.2050195248
145	0.2039294572
146	0.2028386587
147	0.2017738985
148	0.2007117851
149	0.1996712677
