iter	Passed	Remaining
0	21461	3197728
1	46620	3449953
2	71595	3508180
3	97471	3557723
4	125097	3627817
5	153310	3679440
6	179251	3661857
7	204347	3627161
8	229950	3602551
9	257288	3602042
10	283406	3581223
11	307431	3535457
12	332289	3501820
13	359012	3487548
14	387314	3485828
15	416125	3485049
16	442656	3463136
17	468551	3436040
18	495514	3416444
19	523450	3402431
20	549839	3377585
21	576429	3353770
22	603001	3329616
23	631427	3314996
24	658728	3293644
25	686450	3273843
26	715217	3258215
27	743974	3241601
28	774084	3229799
29	803261	3213046
30	830663	3188677
31	857751	3162957
32	884418	3135665
33	911063	3108335
34	937943	3081813
35	964879	3055453
36	993116	3033032
37	1020212	3006942
38	1047059	2980092
39	1074525	2954945
40	1103300	2933165
41	1132588	2912369
42	1161357	2889888
43	1191884	2871357
44	1223503	2854842
45	1255403	2838302
46	1286525	2819406
47	1324121	2813757
48	1359194	2801605
49	1392442	2784884
50	1425433	2767018
51	1459897	2751345
52	1494020	2734339
53	1528032	2716501
54	1563733	2700994
55	1595379	2677959
56	1626369	2653550
57	1659649	2632547
58	1692180	2609973
59	1725660	2588491
60	1757700	2564513
61	1790404	2541219
62	1824255	2519210
63	1861291	2501111
64	1896216	2479668
65	1934183	2461687
66	1969805	2440206
67	2003782	2416325
68	2037057	2391328
69	2071432	2367351
70	2107862	2345367
71	2147128	2326056
72	2183997	2303668
73	2221278	2281313
74	2262482	2262482
75	2301804	2241230
76	2341267	2219642
77	2379970	2196895
78	2419015	2174051
79	2457927	2150686
80	2498957	2128741
81	2540399	2106672
82	2579468	2082221
83	2619410	2058107
84	2658445	2032928
85	2699524	2008948
86	2741528	1985244
87	2780678	1959114
88	2824880	1936154
89	2866871	1911247
90	2908758	1885898
91	2949339	1859365
92	2987402	1830988
93	3025388	1802358
94	3066087	1775103
95	3104675	1746380
96	3143356	1717504
97	3183986	1689461
98	3223384	1660531
99	3260523	1630261
100	3299053	1600531
101	3336859	1570286
102	3374852	1539981
103	3412129	1509211
104	3450796	1478912
105	3487927	1447819
106	3524907	1416551
107	3561523	1385037
108	3597905	1353340
109	3635022	1321826
110	3673998	1290864
111	3711859	1259380
112	3750627	1228081
113	3790009	1196845
114	3825217	1164196
115	3860770	1131605
116	3895134	1098627
117	3931405	1066143
118	3970428	1034313
119	4008480	1002120
120	4046950	969930
121	4085028	937547
122	4124679	905417
123	4162482	872778
124	4200142	840028
125	4237641	807169
126	4276154	774421
127	4317629	742092
128	4357937	709431
129	4397547	676545
130	4435234	643278
131	4473512	610024
132	4512912	576838
133	4550349	543325
134	4588007	509778
135	4625505	476154
136	4663063	442480
137	4705436	409168
138	4745654	375555
139	4784985	341784
140	4822200	307800
141	4861139	273867
142	4899196	239820
143	4937915	205746
144	4976131	171590
145	5015194	137402
146	5055207	103167
147	5093846	68835
148	5131966	34442
149	5170655	0
